Value,Count,apps_mzs_rast,LC20_BPS_220,LC24_SCla_250,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL
1,1848273.000000000000000,66,1986,7,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,UE
2,13244552.000000000000000,66,1986,3,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,C
3,7199004.000000000000000,66,1986,1,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,A
4,18230432.000000000000000,66,1986,2,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,B
5,14929791.000000000000000,66,11,111,0,Open Water,Open Water,-9999,-9999,-9999,-9999,Water
6,746224.000000000000000,66,1998,4,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,D
7,2587070.000000000000000,66,1999,3,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,C
8,2111079.000000000000000,66,1999,6,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,UN
9,505713.000000000000000,66,1994,4,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,D
10,949410.000000000000000,66,1998,6,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,UN
11,830588.000000000000000,66,1999,2,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,B
12,18974.000000000000000,66,1980,4,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,D
13,642747.000000000000000,66,1986,6,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,UN
14,17069460.000000000000000,66,1978,5,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,E
15,4610306.000000000000000,66,1978,3,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,C
16,6806493.000000000000000,66,1978,6,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,UN
17,7217050.000000000000000,66,1983,4,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,D
18,1953158.000000000000000,66,1978,2,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,B
19,2122920.000000000000000,66,1986,120,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,Developed
20,114321.000000000000000,66,1983,3,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,C
21,780831.000000000000000,66,1983,120,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,Developed
22,272728.000000000000000,66,1983,2,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,B
23,378465.000000000000000,66,1983,7,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,UE
24,1249052.000000000000000,66,1978,120,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,Developed
25,40295.000000000000000,66,1988,120,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,Developed
26,349841.000000000000000,66,1988,3,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,C
27,897712.000000000000000,66,1978,7,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,UE
28,174714.000000000000000,66,1988,6,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,UN
29,130125.000000000000000,66,1978,1,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,A
30,16756.000000000000000,66,1998,3,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,C
31,170015.000000000000000,66,1998,2,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,B
32,190354.000000000000000,66,1999,1,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,A
33,272164.000000000000000,66,1993,6,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,UN
34,107253.000000000000000,66,1998,120,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,Developed
35,89079.000000000000000,66,1993,2,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,B
36,330073.000000000000000,66,1993,3,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,C
37,51435.000000000000000,66,1993,7,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,UE
38,72004.000000000000000,66,1998,7,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,UE
39,241911.000000000000000,66,1994,6,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,UN
40,250196.000000000000000,66,1999,120,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,Developed
41,177647.000000000000000,66,1999,7,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,UE
