"bps_model_id","class","symbol","scientific_name","common_name","canopy_position"
"10080_1_2_3_7","A","QUGA4","Quercus garryana","Oregon white oak","Upper"
"10080_1_2_3_7","A","TODI","Toxicodendron diversilobum","Pacific poison oak","Middle"
"10080_1_2_3_7","A","FEIDR2","Festuca idahoensis subsp. roemeri","Roemer’s fescue","Lower"
"10080_1_2_3_7","B","QUGA4","Quercus garryana","Oregon white oak","Upper"
"10080_1_2_3_7","B","PSME","Pseudotsuga menziesii","Douglas-fir","Upper"
"10080_1_2_3_7","B","FEIDR2","Festuca idahoensis subsp. roemeri","Roemer’s fescue","Lower"
"10080_1_2_3_7","B","TODI","Toxicodendron diversilobum","Pacific poison oak","Lower"
"10080_1_2_3_7","C","QUGA4","Quercus garryana","Oregon white oak","Upper"
"10080_1_2_3_7","C","FEIDR2","Festuca idahoensis subsp. roemeri","Roemer’s fescue","Lower"
"10080_1_2_3_7","C","ELGL","Elymus glaucus","Blue wildrye","Lower"
"10090_19","A","POTR","Poa tracyi","Tracy's bluegrass","Upper"
"10090_19","A","BEPA","Betula papyrifera","Paper birch","Upper"
"10090_19","A","POBA2","Populus balsamifera","Balsam poplar","Upper"
"10090_19","B","POTR","Poa tracyi","Tracy's bluegrass","Upper"
"10090_19","B","BEPA","Betula papyrifera","Paper birch","Upper"
"10090_19","B","POBA2","Populus balsamifera","Balsam poplar","None"
"10090_19","C","PIGL","Picea glauca","White spruce","Middle"
"10090_19","C","PIEN","Picea engelmannii","Engelmann spruce","Middle"
"10090_19","C","ABLA","Abies lasiocarpa","Subalpine fir","Middle"
"10090_19","C","PICO","Pinus contorta","Lodgepole pine","Middle"
"10110_15","A","POTR5","Populus tremuloides","Quaking aspen","All"
"10110_15","B","POTR5","Populus tremuloides","Quaking aspen","All"
"10110_15","C","POTR5","Populus tremuloides","Quaking aspen","All"
"10110_16_23_24","A","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_16_23_24","B","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_16_23_24","C","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_16_23_24","D","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_16_23_24","D","PSEUD7","Pseudotsuga","Douglas-fir","Mid-Upper"
"10110_16_23_24","D","ABLA","Abies lasiocarpa","Subalpine fir","Mid-Upper"
"10110_16_23_24","D","ABCO","Abies concolor","White fir","Mid-Upper"
"10110_16_23_24","E","PSEUD7","Pseudotsuga","Douglas-fir","Upper"
"10110_16_23_24","E","ABLA","Abies lasiocarpa","Subalpine fir","Upper"
"10110_16_23_24","E","ABCO","Abies concolor","White fir","Upper"
"10110_16_23_24","E","POTR5","Populus tremuloides","Quaking aspen","Mid-Upper"
"10110_20_29","A","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_20_29","B","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_20_29","C","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_20_29","D","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_20_29","D","ARTR2","Artemisia tridentata","Big sagebrush","Lower"
"10110_20_29","D","GRASS","<NOT FOUND IN NRCS>","<NOT FOUND IN NRCS>","Lower"
"10110_20_29","D","PSME","Pseudotsuga menziesii","Douglas-fir","Low-Mid"
"10110_20_29","E","PSME","Pseudotsuga menziesii","Douglas-fir","Upper"
"10110_20_29","E","PICO","Pinus contorta","Lodgepole pine","Upper"
"10110_20_29","E","PIEN","Picea engelmannii","Engelmann spruce","Upper"
"10110_20_29","E","ARTR2","Artemisia tridentata","Big sagebrush","Low-Mid"
"10110_21","A","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_21","B","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_21","C","POTR5","Populus tremuloides","Quaking aspen","Upper"
"10110_21","D","POTR5","Populus tremuloides","Quaking aspen","Upper"
