"value","count","total_bps_count","bps_model","bps_name","groupveg","fri_replac","fri_mixed","fri_surfac","fri_allfir","label","model_label","ref_percent","cur_percent","class_percent_difference","class_representation","symbol","scientific_name","common_name","canopy_position"
1,1848273,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"UE","13730_65_66_UE",0,4,4,"over","UE","UE","UE","UE"
2,13244552,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"C","13730_65_66_C",7,29,22,"over","POTR5","Populus tremuloides","Quaking aspen","Upper"
2,13244552,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"C","13730_65_66_C",7,29,22,"over","BEPA","Betula papyrifera","Paper birch","Upper"
2,13244552,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"C","13730_65_66_C",7,29,22,"over","POGR4","Populus grandidentata","Bigtooth aspen","Upper"
3,7199004,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"A","13730_65_66_A",6,16,10,"over","POPUL","Populus","Cottonwood","Upper"
3,7199004,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"A","13730_65_66_A",6,16,10,"over","BEPA","Betula papyrifera","Paper birch","Upper"
3,7199004,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"A","13730_65_66_A",6,16,10,"over","ABBA","Abies balsamea","Balsam fir","Low-Mid"
3,7199004,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"A","13730_65_66_A",6,16,10,"over","PIRU","Picea rubens","Red spruce","Low-Mid"
4,18230432,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"B","13730_65_66_B",6,40,34,"over","POPUL","Populus","Cottonwood","Upper"
4,18230432,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"B","13730_65_66_B",6,40,34,"over","BEPA","Betula papyrifera","Paper birch","Upper"
4,18230432,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"B","13730_65_66_B",6,40,34,"over","ABBA","Abies balsamea","Balsam fir","Low-Mid"
4,18230432,45430743,"13730_65_66","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1127,-9999,-9999,1127,"B","13730_65_66_B",6,40,34,"over","PIRU","Picea rubens","Red spruce","Low-Mid"
6,746224,3222111,"14940_63_65_66","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",792,-9999,-9999,792,"D","14940_63_65_66_D",13,23,10,"over","ACRU","Acer rubrum","Red maple","Upper"
