"model_label","bps_model","bps_name","groupveg","fri_replac","fri_mixed","fri_surfac","fri_allfir","label","ref_percent","cur_percent","class_percent_difference","class_representation","AM_woody","Dual_woody","EcM_woody","ErM_woody","NM_woody","AM_herbaceous","EcM_herbaceous","NM_herbaceous","prop_EcM_woody","prop_AM_woody","prop_ErM_woody","dominant_myco","fire_dependent","myco_fire_group"
"13020_63_A","13020_63","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2021,5000,5000,2021,"A",2,0,-2,"under",0,1,1,0,0,0,0,0,0.75,0.25,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_63_B","13020_63","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2021,5000,5000,2021,"B",4,2,-2,"under",1,1,2,0,0,0,0,0,0.625,0.375,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_63_C","13020_63","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2021,5000,5000,2021,"C",14,12,-2,"under",1,0,2,0,0,0,0,0,0.666666666666667,0.333333333333333,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_63_D","13020_63","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2021,5000,5000,2021,"D",76,0,-76,"under",1,0,3,0,0,0,0,0,0.75,0.25,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_63_E","13020_63","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2021,5000,5000,2021,"E",4,22,18,"over",1,1,2,0,0,0,0,0,0.625,0.375,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_64_A","13020_64","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2108,5000,5000,2108,"A",2,0,-2,"under",0,1,1,0,0,0,0,0,0.75,0.25,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_64_B","13020_64","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2108,5000,5000,2108,"B",4,3,-1,"under",1,1,2,0,0,0,0,0,0.625,0.375,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_64_C","13020_64","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2108,5000,5000,2108,"C",14,18,4,"over",1,0,2,0,0,0,0,0,0.666666666666667,0.333333333333333,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_64_D","13020_64","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2108,5000,5000,2108,"D",76,0,-76,"under",1,0,3,0,0,0,0,0,0.75,0.25,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_64_E","13020_64","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2108,5000,5000,2108,"E",4,40,36,"over",1,1,2,0,0,0,0,0,0.625,0.375,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_65_66_A","13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,5000,5000,983,"A",4,0,-4,"under",0,2,2,0,0,0,0,0,0.75,0.25,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_65_66_B","13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,5000,5000,983,"B",5,4,-1,"under",2,0,6,0,0,0,0,0,0.75,0.25,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_65_66_C","13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,5000,5000,983,"C",18,10,-8,"under",2,0,6,0,0,0,0,0,0.75,0.25,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_65_66_D","13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,5000,5000,983,"D",66,0,-66,"under",4,0,6,0,0,0,0,0,0.6,0.4,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13020_65_66_E","13020_65_66","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",983,5000,5000,983,"E",7,37,30,"over",4,2,6,0,0,0,0,0,0.583333333333333,0.416666666666667,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13030_60_A","13030_60","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",7,17,15,4,"A",21,0,-21,"under",0,0,0,0,0,3,0,0,NA,NA,NA,NA,"fire-adapted","NA_fire-adapted"
"13030_60_B","13030_60","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",7,17,15,4,"B",34,0,-34,"under",0,0,3,0,0,1,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13030_60_C","13030_60","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",7,17,15,4,"C",30,1,-29,"under",0,0,4,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13030_60_D","13030_60","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",7,17,15,4,"D",10,11,1,"over",0,0,4,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13030_60_E","13030_60","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",7,17,15,4,"E",5,10,5,"over",3,0,1,0,0,0,0,0,0.25,0.75,0,"AM","fire-adapted","AM_fire-adapted"
"13030_61_63_64_65_66_A","13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,"A",4,0,-4,"under",4,0,4,4,0,12,0,0,0.333333333333333,0.333333333333333,0.333333333333333,NA,"fire-adapted","NA_fire-adapted"
"13030_61_63_64_65_66_B","13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,"B",22,0,-22,"under",4,0,16,4,0,12,0,0,0.666666666666667,0.166666666666667,0.166666666666667,"EcM","fire-adapted","EcM_fire-adapted"
"13030_61_63_64_65_66_C","13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,"C",49,0,-49,"under",4,0,28,4,0,12,0,0,0.777777777777778,0.111111111111111,0.111111111111111,"EcM","fire-adapted","EcM_fire-adapted"
"13030_61_63_64_65_66_D","13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,"D",18,1,-17,"under",0,0,20,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13030_61_63_64_65_66_E","13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,"E",7,1,-6,"under",12,0,20,0,0,0,0,0,0.625,0.375,0,"EcM","fire-adapted","EcM_fire-adapted"
"13030_62_A","13030_62","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,52,8,6,"A",4,0,-4,"under",0,0,0,0,0,3,0,0,NA,NA,NA,NA,"fire-adapted","NA_fire-adapted"
"13030_62_B","13030_62","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,52,8,6,"B",15,0,-15,"under",0,0,3,0,0,1,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13030_62_C","13030_62","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,52,8,6,"C",57,7,-50,"under",1,0,3,0,0,0,0,0,0.75,0.25,0,"EcM","fire-adapted","EcM_fire-adapted"
"13030_62_D","13030_62","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,52,8,6,"D",21,32,11,"over",1,0,3,0,0,0,0,0,0.75,0.25,0,"EcM","fire-adapted","EcM_fire-adapted"
"13030_62_E","13030_62","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,52,8,6,"E",3,11,8,"over",3,0,1,0,0,0,0,0,0.25,0.75,0,"AM","fire-adapted","AM_fire-adapted"
"13050_47_48_A","13050_47_48","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",6,199,21,4,"A",39,0,-39,"under",0,0,2,0,0,6,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13050_47_48_B","13050_47_48","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",6,199,21,4,"B",2,0,-2,"under",0,0,4,0,0,4,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13050_47_48_C","13050_47_48","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",6,199,21,4,"C",36,35,-1,"under",0,0,4,0,0,4,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13050_47_48_D","13050_47_48","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",6,199,21,4,"D",20,0,-20,"under",0,0,8,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13050_47_48_E","13050_47_48","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",6,199,21,4,"E",3,0,-3,"under",6,0,2,0,0,0,0,0,0.25,0.75,0,"AM","fire-adapted","AM_fire-adapted"
"13050_53_A","13050_53","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",2,1007,15,2,"A",59,0,-59,"under",0,0,1,0,0,3,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13050_53_B","13050_53","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",2,1007,15,2,"B",6,0,-6,"under",0,0,2,0,0,2,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13050_53_C","13050_53","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",2,1007,15,2,"C",27,3,-24,"under",0,0,2,0,0,2,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13050_53_D","13050_53","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",2,1007,15,2,"D",5,46,41,"over",0,0,4,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13050_53_E","13050_53","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",2,1007,15,2,"E",3,7,4,"over",3,0,1,0,0,0,0,0,0.25,0.75,0,"AM","fire-adapted","AM_fire-adapted"
"13060_47_48_A","13060_47_48","East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland","Hardwood",386,87,9,8,"A",6,0,-6,"under",2,0,2,0,0,0,0,0,0.5,0.5,0,NA,"fire-adapted","NA_fire-adapted"
"13060_47_48_B","13060_47_48","East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland","Hardwood",386,87,9,8,"B",16,0,-16,"under",2,0,2,0,0,0,0,0,0.5,0.5,0,NA,"fire-adapted","NA_fire-adapted"
"13060_47_48_C","13060_47_48","East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland","Hardwood",386,87,9,8,"C",27,0,-27,"under",0,0,4,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13060_47_48_D","13060_47_48","East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland","Hardwood",386,87,9,8,"D",33,3,-30,"under",0,0,8,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13060_47_48_E","13060_47_48","East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland","Hardwood",386,87,9,8,"E",18,9,-9,"under",1,0,3,0,0,0,0,0,0.75,0.25,0,"EcM","fire-adapted","EcM_fire-adapted"
"13070_46_47_48_A","13070_46_47_48","East Gulf Coastal Plain Northern Dry Upland Hardwood Forest","Hardwood",388,89,9,8,"A",6,0,-6,"under",6,0,6,0,0,0,0,0,0.5,0.5,0,NA,"fire-adapted","NA_fire-adapted"
"13070_46_47_48_B","13070_46_47_48","East Gulf Coastal Plain Northern Dry Upland Hardwood Forest","Hardwood",388,89,9,8,"B",16,0,-16,"under",3,0,9,0,0,0,0,0,0.75,0.25,0,"EcM","fire-adapted","EcM_fire-adapted"
"13070_46_47_48_C","13070_46_47_48","East Gulf Coastal Plain Northern Dry Upland Hardwood Forest","Hardwood",388,89,9,8,"C",27,0,-27,"under",0,0,12,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13070_46_47_48_D","13070_46_47_48","East Gulf Coastal Plain Northern Dry Upland Hardwood Forest","Hardwood",388,89,9,8,"D",34,1,-33,"under",0,0,12,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13070_46_47_48_E","13070_46_47_48","East Gulf Coastal Plain Northern Dry Upland Hardwood Forest","Hardwood",388,89,9,8,"E",17,3,-14,"under",3,0,9,0,0,0,0,0,0.75,0.25,0,"EcM","fire-adapted","EcM_fire-adapted"
"13090_53_57_A","13090_53_57","Southern Appalachian Northern Hardwood Forest","Hardwood",681,665,341,169,"A",6,0,-6,"under",6,0,2,0,0,0,0,0,0.25,0.75,0,"AM","fire-sensitive","AM_fire-sensitive"
"13090_53_57_B","13090_53_57","Southern Appalachian Northern Hardwood Forest","Hardwood",681,665,341,169,"B",21,0,-21,"under",0,0,8,0,0,0,0,0,1,0,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13090_53_57_C","13090_53_57","Southern Appalachian Northern Hardwood Forest","Hardwood",681,665,341,169,"C",1,0,-1,"under",0,0,8,0,0,0,0,0,1,0,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13090_53_57_D","13090_53_57","Southern Appalachian Northern Hardwood Forest","Hardwood",681,665,341,169,"D",4,1,-3,"under",4,0,4,0,0,0,0,0,0.5,0.5,0,NA,"fire-sensitive","NA_fire-sensitive"
"13090_53_57_E","13090_53_57","Southern Appalachian Northern Hardwood Forest","Hardwood",681,665,341,169,"E",68,15,-53,"under",0,0,8,0,0,0,0,0,1,0,0,"EcM","fire-sensitive","EcM_fire-sensitive"
"13100_41_62_A","13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,"A",5,0,-5,"under",0,1,0,0,0,3,0,0,0.5,0.5,0,NA,"fire-adapted","NA_fire-adapted"
"13100_41_62_B","13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,"B",18,0,-18,"under",0,1,2,0,0,1,0,0,0.833333333333333,0.166666666666667,0,"EcM","fire-adapted","EcM_fire-adapted"
"13100_41_62_C","13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,"C",27,1,-26,"under",0,1,3,0,0,0,0,0,0.875,0.125,0,"EcM","fire-adapted","EcM_fire-adapted"
"13100_41_62_D","13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,"D",45,7,-38,"under",0,1,3,0,0,0,0,0,0.875,0.125,0,"EcM","fire-adapted","EcM_fire-adapted"
"13100_41_62_E","13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,"E",5,0,-5,"under",2,0,2,0,0,0,0,0,0.5,0.5,0,NA,"fire-adapted","NA_fire-adapted"
"13100_47_A","13100_47","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",162,160,11,9,"A",2,0,-2,"under",0,0,0,0,0,3,0,0,NA,NA,NA,NA,"fire-adapted","NA_fire-adapted"
"13100_47_B","13100_47","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",162,160,11,9,"B",7,0,-7,"under",1,0,3,0,0,0,0,0,0.75,0.25,0,"EcM","fire-adapted","EcM_fire-adapted"
"13100_47_C","13100_47","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",162,160,11,9,"C",27,3,-24,"under",1,0,3,0,0,0,0,0,0.75,0.25,0,"EcM","fire-adapted","EcM_fire-adapted"
"13100_47_D","13100_47","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",162,160,11,9,"D",61,41,-20,"under",0,0,4,0,0,0,0,0,1,0,0,"EcM","fire-adapted","EcM_fire-adapted"
"13100_47_E","13100_47","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",162,160,11,9,"E",3,5,2,"over",2,0,2,0,0,0,0,0,0.5,0.5,0,NA,"fire-adapted","NA_fire-adapted"
"13100_52_A","13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,"A",6,0,-6,"under",0,1,0,0,0,3,0,0,0.5,0.5,0,NA,"fire-adapted","NA_fire-adapted"
"13100_52_B","13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,"B",12,0,-12,"under",0,1,2,0,0,1,0,0,0.833333333333333,0.166666666666667,0,"EcM","fire-adapted","EcM_fire-adapted"
